# prefix,country_code,region_code,city,postal
2001:678:f68::/56,CA,CA-QC,Beauharnois,J6N 0C2
2001:678:f68:100::/56,US,US-NY,Lake George,12845
2001:678:f68:200::/56,DE,DE-BY,Falkenstein,08223
2001:678:f68:300::/56,US,US-NY,New York,10013
2001:678:f68:400::/56,US,US-TX,Dallas,75235
2001:678:f68:500::/56,CA,CA-ON,Toronto,M5A 2Y5
2001:678:f68:600::/56,US,US-NJ,Matawan,07747
2001:678:f68:700::/56,US,US-CA,Los Angeles,90017
2001:678:f68:800::/56,CA,CA-ON,Toronto,M5A 2Y5
2001:678:f68:900::/56,DE,DE-HE,Frankfurt,60314
2a0f:9400:6120:100::/56,US,US-KS,Kansas City,
2a0f:9400:6120:200::/56,US,US-IL,Chicaco,
2a0f:9400:6120:300::/56,US,US-CA,Los Angeles,90017
2a0f:9400:6121::/48,US,US-CA,Los Angeles,90017
